Object-contain Image,Object-contain Image,URL,Typo-body-xs,Typo-body-xs,Typo-body-xs,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Css-npx427,Typo-body-xs,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Object-contain Image,Css-11nlj6z Image,Css-11nlj6z Image,Css-11nlj6z Image,Css-1wkzhnf
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/pyusd.svg,https://app.morpho.org/ethereum/market/0x90ef0c5a0dc7c4de4ad4585002d44e9d411d212d2f6258e94948beecf8b4c0d5/susde-pyusd,sUSDe,PYUSD,91.50 %,73.99M PYUSD,$73.96M,18.14M PYUSD,$18.14M,2.69%,75.47%,18.14M PYUSD,$18.14M,50.58M sUSDe,$62.28M,73.99M PYUSD,$73.96M,55.84M PYUSD,$55.82M,https://cdn.morpho.org/assets/logos/susde.svg,https://cdn.morpho.org/v2/assets/images/sentora.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0x7e585a933ffe8443c371b4f8cfeb4430f5f6a14c2f32a898c26662c67a1cb8b8/wsteth-usdc,wstETH,USDC,86.00 %,73.31M USDC,$73.29M,71.63M USDC,$71.61M,3.85%,84.75%,302.03k USDC,$301.95k,1235.39 wstETH,$3.21M,1.98M USDC,$1.98M,1.67M USDC,$1.67M,https://cdn.morpho.org/assets/logos/wsteth.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdt.svg,https://app.morpho.org/ethereum/market/0xa921ef34e2fc7a27ccc50ae7e4b154e16c9799d3387076c421423ef52ac4df99/wbtc-usdt,WBTC,USDT,86.00 %,73.19M USDT,$73.12M,13.85M USDT,$13.83M,3.08%,81.07%,13.85M USDT,$13.83M,1365.06 WBTC,$104.44M,73.19M USDT,$73.12M,59.34M USDT,$59.28M,https://cdn.morpho.org/assets/logos/wbtc.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/galaxy.png,+8
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0x09dc9e7eb5d8fc54b2bc41d1135fd4e99057a580f680321faeb90c7a21e631c1/wbtc-usdc,WBTC,USDC,86.00 %,71.83M USDC,$71.81M,71.63M USDC,$71.61M,3.81%,85.54%,34.54k USDC,$34.53k,5.671267 WBTC,$433.94k,238.97k USDC,$238.91k,204.43k USDC,$204.38k,https://cdn.morpho.org/assets/logos/wbtc.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0xbc99de6a88904cd0e69042ad6f266e63182801f030c636507c3caf590ffd84fe/cbbtc-usdc,cbBTC,USDC,86.00 %,71.65M USDC,$71.63M,71.63M USDC,$71.61M,3.82%,85.37%,4222.06 USDC,$4220.92,0.684940 cbBTC,$52.61k,28.86k USDC,$28.85k,24.63k USDC,$24.63k,https://cdn.morpho.org/assets/logos/cbbtc.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/pyusd.svg,https://app.morpho.org/ethereum/market/0x85d59152eeeab7ca024804895b358868d8dd1e134171be400d7792d5604a212c/weeth-pyusd,weETH,PYUSD,86.00 %,70.57M PYUSD,$70.55M,11.53M PYUSD,$11.53M,3.97%,92.85%,4.54M PYUSD,$4.53M,39.84k weETH,$92.08M,63.57M PYUSD,$63.55M,59.03M PYUSD,$59.01M,https://cdn.morpho.org/assets/logos/weeth.svg,https://cdn.morpho.org/v2/assets/images/sentora.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0x1590cb22d797e226df92ebc6e0153427e207299916e7e4e53461389ad68272fb/wsrusd-usdc,wsrUSD,USDC,94.50 %,65.46M USDC,$65.44M,7.04M USDC,$7.04M,4.22%,89.23%,7.04M USDC,$7.04M,60.05M wsrUSD,$64.64M,65.46M USDC,$65.44M,58.41M USDC,$58.40M,https://cdn.morpho.org/assets/logos/wsrusd.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/rlusd.svg,https://app.morpho.org/ethereum/market/0xc0ae375fd761ff19b3f04de5534c0f1ec110f80e1c2ede27c42c1c43c3040394/syrupusdc-rlusd,syrupUSDC,RLUSD,91.50 %,52.46M RLUSD,$52.46M,5.68M RLUSD,$5.68M,3.98%,89.16%,5.68M RLUSD,$5.68M,45.97M syrupUSDC,$53.54M,52.46M RLUSD,$52.46M,46.77M RLUSD,$46.77M,https://cdn.morpho.org/assets/logos/syrupusdc.svg,https://cdn.morpho.org/v2/assets/images/sentora.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdt.svg,https://app.morpho.org/ethereum/market/0x4fe72543c5c95cd6b5f3cb516cd235ba882e2e705fe3424db6f99dfe5811d0d3/cbbtc-usdt,cbBTC,USDT,86.00 %,45.33M USDT,$45.28M,36.93M USDT,$36.89M,2.95%,84.48%,1.54M USDT,$1.54M,256.261720 cbBTC,$19.68M,9.94M USDT,$9.93M,8.40M USDT,$8.39M,https://cdn.morpho.org/assets/logos/cbbtc.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,,,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0xa75bb490ecfee90c86a9d22ebc2dde42fb83478b3f18722b9fc6f5f668cab124/pt-apyusd-18jun2026-usdc,PT-apyUSD-18JUN2026,USDC,86.00 %,34.94M USDC,$34.94M,3.05M USDC,$3.05M,8.36%,91.24%,3.05M USDC,$3.05M,44.11M PT-apyU...UN2026,$43.42M,34.94M USDC,$34.94M,31.89M USDC,$31.88M,https://cdn.morpho.org/assets/logos/pt-apyusd.svg,,https://cdn.morpho.org/v2/assets/images/hyperithm.svg,https://cdn.morpho.org/v2/assets/images/alphaping.png,
